,review title,job title,job location,date,description,pros,cons
0,Working in Multinational exploration company,Geologist,India,"August 5, 2017","Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
1,Productive and pressure,IIT Application Support Analyst,"Johannesburg, Gauteng","November 8, 2018",ÔÉòÔÉò Assisting and handling user callsÔÉò Setup and maintain documentation and standardsÔÉò Ensure documents are reviewed as per scheduledo instalationÔÉò,Free lunch,8 hours
2,Best company that already worked.,IT Site Manager,"S„o £ £ Joa the bar, AB","October 19, 2018",Excellent company to work for. Sal√°rio very good benefits above those of the market and an aggressive career path with a lot of investment in employee and challenging goals. I felt challenged every day and was not√°vel my £ evolu√ß√ the day to day as a professional. One day I hope to have the opportunity to return to this Stunning company.,career development and benefits,N√ £ o has.
3,Enjoyable to work with and √≥tima ger√™ncias.,Est√°gio in Administrative Assistant,"Niquel√ ¢ ndia, GO","October 19, 2018","√ ""great place to work, installations √≥timos, enjoyable atmosphere and a lot of the £ organiza√ß√.",#VALUE!,#VALUE!
4,Great company to work,T√ © cynical of Manuten√ß√ Planning £ o,"Concei√ß√ £ Within the Mato, MG","October 17, 2018","Anglo American √ © a note now 10 in Security, care to people, the environment and everyone involved in your Business.",excellent company,Information Location £ o
5,Productive environment that advances it's employees,Processor Grade 3 B2,"Rustenburg, North West","October 8, 2018","The company upholds the constitution and is against any form of discrimination. The hardest part of my job was when we does the lock out and cleaning inside the mill.The company taught me discipline, to be panctual and team spirit.",Safety bonuses,Night shift
6,Corporate environment with profits that mattered.,"Typist, Promoted to Secretary","Johannesburg, Gauteng","October 6, 2018","I was the secretary who dealt with plant Heads of Department in a gold mine. I was directly reporting to two metallurgical superintendents: typing, screening calls, audio-typing reports. All secretarial duties. Security in the office was of utmost importance with confidential data being prepared each day. I learned how to work with outside departments and learned communication skills. Management was hierarchical and working in silos: Engineering dept., metallurgical dept., admin, HR dept., Loss Control and Finance dept. All metallurgical departments directly reporting to the two metallurgical superintendents (my two managers). The metallurgical departments comprised Carbon In Leach, Acid Plant, Gold Plant, Loss Control and Flotation Plant which are metallurgical plants to produce, ultimately, gold. The workplace demanded good work ethic and the ability to work under pressure. The hardest part of the job was during a slump in the gold price with low motivation, lay-offs and stressful working conditions, taking on extra duties with the corporation austerity measures.The most enjoyable part of the job was making sure the job was done .",#VALUE!,#VALUE!
7,Excellent working environment and benefits to supervisors,Mina Shift Leader,Mantos Blancos,"October 4, 2018","Company with constant preparation to the line supervisor, conducting trainings on different issues.",Good benefits for supervisors,none
8,Great company to work for,Plant Supervisor,"Witbank, Mpumalanga","September 20, 2018","Too much work to be done when working in the plant, training and coaching of staff, plant and dams inspections and admin dutiesI have learnt to be patient and work towards my goal by being perssistant.The culture is great. Pleople work togehter and care about each other. Its not only about work and result.Hardest part is when the plant is on stop due to a breakdown! Enjoyable part: I get the satisfaction when ensured the plant runs according to normal operational procedures...Its fulfilling","free luches, breakfasts, snacks & bottled water, lots of training",Long hours
9,Excellent work enviroment,Fitter and Turner,"Klerksdorp, North West","September 14, 2018",Each employee had work tasks and each employee to responsibilityWas good team workEvery day you gained new skills good managementGood work ethicsOccasionally Long Hoursall parts and spars were always availableWas a good company to work for,training,Salary
