,review title,job title,job location,date,description,pros,cons
0,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal,#VALUE!,#VALUE!
1,Valuable workplace to gain great experience,Customer Service Representative,Singapore,"November 14, 2018",I was in a very international workplace and colleagues and managers are very approachable. The company provides number of seminars and encouraging courses for employees for the future career path. Switching to different team or department with manager's approval is possible when available and qualified.No overtime work was paid when a business development project was on-going with issues and overtime work was necessary for months.,"Good secured salary, nice colleagues and managers, career path plan, free snacks and drinks",no overtime work pay
2,good employer in all,© rational opÃ,"Saguenay, QC","November 12, 2018",Request the availability in large Quantity © © © orientation Result Result,Result Muna © © © ration competent petitive in the region © Result,slightly open at the balance Ã ©
3,Okay,Principal Study Manager,"Salt Lake City, UT","November 6, 2018","Depending on where you are Rio Tinto can be great or terrible. Most roles in australia are setup well, while the less lucrative business units dont have as great of a setup for employees.",#VALUE!,#VALUE!
4,Good culture,Serviceman,Weipa QLD,"November 1, 2018",The work environment is good and the staff members are excellent to work with. Management are very organised and willing to train and help where necessary.,Fifo,None
5,"Nice people, 0 work life balance","Chief Adviser, Global Policy, Stakeholder Manager","MontrÃ © al, QC","October 30, 2018","The company is in a constant state of flux, and people do not know who to reach out to in order to get things done. Also there is very little thought to work life balance.",#VALUE!,#VALUE!
6,Excellent company,Rail Operations Training Officer (Secondment),7 Mile,"October 23, 2018","Excellent company to work for. Encourage professional development, was offered many opportunities to increase my skill set and better my stead professionally within the company.",Look after employess,Unfortunately due to freeze no career progression available
7,Forward looking progressive company,Principal Advisor,Singapore,"October 22, 2018",A great company to work for. Never a dull moment in Rio world. You learn new things practically every day and management is super open and accessible. Very deep employee caring culture derived from safety value. The hardest part of the job is that if one doesn't continue learning you might get behind from others. Most enjoyable part of the job is a societal transformation and big impacts in where the company operates and works.,Top salary in addition to generous benefits,A bit removed from everyday consumers
8,A great company that needs to be more agile and innovative,Principal Advisor/Manager - Corporate Networks,"Montreal, WI","October 16, 2018",A global company with a very difficult and challenging work life situation. Engaging and collaborating on global projects requires attending meetings at nights and early morning. The workplace culture is not employee friendly. Lots of meetings and discussions but very little decision making and execution of projects done in a timely manner. Most decisions about funding (over 100K) needs to be approved by a senior executive. Not agile and not a digitally driven organization.,Compensation and benefits are very good,Not very agile and innovative. Not a digitally driven organization
9,Good corporate citizen,General Manager,Singapore,"October 16, 2018","Strengths: Financial stability, Innovative, Respect & IntegrityArea of improvement: Career development, Employees empowerment, inclusion & diversity",#VALUE!,#VALUE!
10,Good corporate citizen,General Manager,"MontrÃ © al, QC","October 16, 2018","Company in constant transformation. Maximization of the shareholders value prevails over other value. The eNPS score is negative year after year - Strong at - Safety, financial stability, respect and integrityAreas of improvement: employees empowerment, career development,",#VALUE!,#VALUE!
